index,pokedex_number,name,generation,status,fully_evolved,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,growth_rate,egg_type_number,egg_type_1,egg_type_2
306,257,Mega Blaziken,3,Normal,1,Blaze Pokémon,2,Fire,Fighting,1.9,52,1,Speed Boost,,,630,80,160,80,130,80,100,Medium Slow,1,Field,
307,258,Mudkip,3,Normal,0,Mud Fish Pokémon,1,Water,,0.4,7.6,2,Torrent,,Damp,310,50,70,50,50,50,40,Medium Slow,2,Monster,Water 1
308,259,Marshtomp,3,Normal,0,Mud Fish Pokémon,2,Water,Ground,0.7,28,2,Torrent,,Damp,405,70,85,70,60,70,50,Medium Slow,2,Monster,Water 1
309,260,Swampert,3,Normal,1,Mud Fish Pokémon,2,Water,Ground,1.5,81.9,2,Torrent,,Damp,535,100,110,90,85,90,60,Medium Slow,2,Monster,Water 1
310,260,Mega Swampert,3,Normal,1,Mud Fish Pokémon,2,Water,Ground,1.9,102,1,Swift Swim,,,635,100,150,110,95,110,70,Medium Slow,2,Monster,Water 1
311,261,Poochyena,3,Normal,0,Bite Pokémon,1,Dark,,0.5,13.6,3,Run Away,Quick Feet,Rattled,220,35,55,35,30,30,35,Medium Fast,1,Field,
312,262,Mightyena,3,Normal,1,Bite Pokémon,1,Dark,,1,37,3,Intimidate,Quick Feet,Moxie,420,70,90,70,60,60,70,Medium Fast,1,Field,
313,263,Zigzagoon,3,Normal,0,TinyRaccoon Pokémon,1,Normal,,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240,38,30,41,30,41,60,Medium Fast,1,Field,
314,263,Galarian Zigzagoon,3,Normal,0,Tiny Raccoon Pokémon,2,Dark,Normal,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240,38,30,41,30,41,60,Medium Fast,1,Field,
315,264,Linoone,3,Normal,1,Rushing Pokémon,1,Normal,,0.5,32.5,3,Pickup,Gluttony,Quick Feet,420,78,70,61,50,61,100,Medium Fast,1,Field,
316,264,Galarian Linoone,3,Normal,0,Rushing Pokémon,2,Dark,Normal,0.5,32.5,3,Pickup,Gluttony,Quick Feet,420,78,70,61,50,61,100,Medium Fast,1,Field,
317,265,Wurmple,3,Normal,0,Worm Pokémon,1,Bug,,0.3,3.6,2,Shield Dust,,Run Away,195,45,45,35,20,30,20,Medium Fast,1,Bug,
318,266,Silcoon,3,Normal,0,Cocoon Pokémon,1,Bug,,0.6,10,1,Shed Skin,,,205,50,35,55,25,25,15,Medium Fast,1,Bug,
319,267,Beautifly,3,Normal,1,Butterfly Pokémon,2,Bug,Flying,1,28.4,2,Swarm,,Rivalry,395,60,70,50,100,50,65,Medium Fast,1,Bug,
320,268,Cascoon,3,Normal,0,Cocoon Pokémon,1,Bug,,0.7,11.5,1,Shed Skin,,,205,50,35,55,25,25,15,Medium Fast,1,Bug,
321,269,Dustox,3,Normal,1,Poison Moth Pokémon,2,Bug,Poison,1.2,31.6,2,Shield Dust,,Compound Eyes,385,60,50,70,50,90,65,Medium Fast,1,Bug,
322,270,Lotad,3,Normal,0,Water Weed Pokémon,2,Water,Grass,0.5,2.6,3,Swift Swim,Rain Dish,Own Tempo,220,40,30,30,40,50,30,Medium Slow,2,Grass,Water 1
323,271,Lombre,3,Normal,0,Jolly Pokémon,2,Water,Grass,1.2,32.5,3,Swift Swim,Rain Dish,Own Tempo,340,60,50,50,60,70,50,Medium Slow,2,Grass,Water 1
324,272,Ludicolo,3,Normal,1,Carefree Pokémon,2,Water,Grass,1.5,55,3,Swift Swim,Rain Dish,Own Tempo,480,80,70,70,90,100,70,Medium Slow,2,Grass,Water 1
325,273,Seedot,3,Normal,0,Acorn Pokémon,1,Grass,,0.5,4,3,Chlorophyll,Early Bird,Pickpocket,220,40,40,50,30,30,30,Medium Slow,2,Field,Grass
326,274,Nuzleaf,3,Normal,0,Wily Pokémon,2,Grass,Dark,1,28,3,Chlorophyll,Early Bird,Pickpocket,340,70,70,40,60,40,60,Medium Slow,2,Field,Grass
327,275,Shiftry,3,Normal,1,Wicked Pokémon,2,Grass,Dark,1.3,59.6,3,Chlorophyll,Early Bird,Pickpocket,480,90,100,60,90,60,80,Medium Slow,2,Field,Grass
328,276,Taillow,3,Normal,0,TinySwallow Pokémon,2,Normal,Flying,0.3,2.3,2,Guts,,Scrappy,270,40,55,30,30,30,85,Medium Slow,1,Flying,
329,277,Swellow,3,Normal,1,Swallow Pokémon,2,Normal,Flying,0.7,19.8,2,Guts,,Scrappy,455,60,85,60,75,50,125,Medium Slow,1,Flying,
330,278,Wingull,3,Normal,0,Seagull Pokémon,2,Water,Flying,0.6,9.5,3,Keen Eye,Hydration,Rain Dish,270,40,30,30,55,30,85,Medium Fast,2,Flying,Water 1
331,279,Pelipper,3,Normal,1,Water Bird Pokémon,2,Water,Flying,1.2,28,3,Keen Eye,Drizzle,Rain Dish,440,60,50,100,95,70,65,Medium Fast,2,Flying,Water 1
332,280,Ralts,3,Normal,0,Feeling Pokémon,2,Psychic,Fairy,0.4,6.6,3,Synchronize,Trace,Telepathy,198,28,25,25,45,35,40,Slow,2,Amorphous,Human-Like
333,281,Kirlia,3,Normal,0,Emotion Pokémon,2,Psychic,Fairy,0.8,20.2,3,Synchronize,Trace,Telepathy,278,38,35,35,65,55,50,Slow,2,Amorphous,Human-Like
334,282,Gardevoir,3,Normal,1,Embrace Pokémon,2,Psychic,Fairy,1.6,48.4,3,Synchronize,Trace,Telepathy,518,68,65,65,125,115,80,Slow,2,Amorphous,Human-Like
335,282,Mega Gardevoir,3,Normal,1,Embrace Pokémon,2,Psychic,Fairy,1.6,48.4,1,Pixilate,,,618,68,85,65,165,135,100,Slow,1,Amorphous,
336,283,Surskit,3,Normal,0,Pond Skater Pokémon,2,Bug,Water,0.5,1.7,2,Swift Swim,,Rain Dish,269,40,30,32,50,52,65,Medium Fast,2,Bug,Water 1
337,284,Masquerain,3,Normal,1,Eyeball Pokémon,2,Bug,Flying,0.8,3.6,2,Intimidate,,Unnerve,454,70,60,62,100,82,80,Medium Fast,2,Bug,Water 1
338,285,Shroomish,3,Normal,0,Mushroom Pokémon,1,Grass,,0.4,4.5,3,Effect Spore,Poison Heal,Quick Feet,295,60,40,60,40,60,35,Fluctuating,2,Fairy,Grass
339,286,Breloom,3,Normal,1,Mushroom Pokémon,2,Grass,Fighting,1.2,39.2,3,Effect Spore,Poison Heal,Technician,460,60,130,80,60,60,70,Fluctuating,2,Fairy,Grass
340,287,Slakoth,3,Normal,0,Slacker Pokémon,1,Normal,,0.8,24,1,Truant,,,280,60,60,60,35,35,30,Slow,1,Field,
341,288,Vigoroth,3,Normal,0,Wild Monkey Pokémon,1,Normal,,1.4,46.5,1,Vital Spirit,,,440,80,80,80,55,55,90,Slow,1,Field,
342,289,Slaking,3,Normal,1,Lazy Pokémon,1,Normal,,2,130.5,1,Truant,,,670,150,160,100,95,65,100,Slow,1,Field,
343,290,Nincada,3,Normal,0,Trainee Pokémon,2,Bug,Ground,0.5,5.5,2,Compound Eyes,,Run Away,266,31,45,90,30,30,40,Erratic,1,Bug,
344,291,Ninjask,3,Normal,1,Ninja Pokémon,2,Bug,Flying,0.8,12,2,Speed Boost,,Infiltrator,456,61,90,45,50,50,160,Erratic,1,Bug,
345,292,Shedinja,3,Normal,1,Shed Pokémon,2,Bug,Ghost,0.8,1.2,1,Wonder Guard,,,236,1,90,45,30,30,40,Erratic,1,Mineral,
346,293,Whismur,3,Normal,0,Whisper Pokémon,1,Normal,,0.6,16.3,2,Soundproof,,Rattled,240,64,51,23,51,23,28,Medium Slow,2,Field,Monster
347,294,Loudred,3,Normal,0,Big Voice Pokémon,1,Normal,,1,40.5,2,Soundproof,,Scrappy,360,84,71,43,71,43,48,Medium Slow,2,Field,Monster
348,295,Exploud,3,Normal,1,Loud Noise Pokémon,1,Normal,,1.5,84,2,Soundproof,,Scrappy,490,104,91,63,91,73,68,Medium Slow,2,Field,Monster
349,296,Makuhita,3,Normal,0,Guts Pokémon,1,Fighting,,1,86.4,3,Thick Fat,Guts,Sheer Force,237,72,60,30,20,30,25,Fluctuating,1,Human-Like,
350,297,Hariyama,3,Normal,1,Arm Thrust Pokémon,1,Fighting,,2.3,253.8,3,Thick Fat,Guts,Sheer Force,474,144,120,60,40,60,50,Fluctuating,1,Human-Like,
351,298,Azurill,3,Normal,0,Polka Dot Pokémon,2,Normal,Fairy,0.2,2,3,Thick Fat,Huge Power,Sap Sipper,190,50,20,40,20,40,20,Fast,1,Undiscovered,
352,299,Nosepass,3,Normal,0,Compass Pokémon,1,Rock,,1,97,3,Sturdy,Magnet Pull,Sand Force,375,30,45,135,45,90,30,Medium Fast,1,Mineral,
353,300,Skitty,3,Normal,0,Kitten Pokémon,1,Normal,,0.6,11,3,Cute Charm,Normalize,Wonder Skin,260,50,45,45,35,35,50,Fast,2,Fairy,Field
354,301,Delcatty,3,Normal,1,Prim Pokémon,1,Normal,,1.1,32.6,3,Cute Charm,Normalize,Wonder Skin,400,70,65,65,55,55,90,Fast,2,Fairy,Field
355,302,Sableye,3,Normal,1,Darkness Pokémon,2,Dark,Ghost,0.5,11,3,Keen Eye,Stall,Prankster,380,50,75,75,65,65,50,Medium Slow,1,Human-Like,
356,302,Mega Sableye,3,Normal,1,Darkness Pokémon,2,Dark,Ghost,0.5,161,1,Magic Bounce,,,480,50,85,125,85,115,20,Medium Slow,1,Human-Like,
357,303,Mawile,3,Normal,1,Deceiver Pokémon,2,Steel,Fairy,0.6,11.5,3,Hyper Cutter,Intimidate,Sheer Force,380,50,85,85,55,55,50,Fast,2,Fairy,Field
358,303,Mega Mawile,3,Normal,1,Deceiver Pokémon,2,Steel,Fairy,1,23.5,1,Huge Power,,,480,50,105,125,55,95,50,Fast,2,Fairy,Field
359,304,Aron,3,Normal,0,Iron Armor Pokémon,2,Steel,Rock,0.4,60,3,Sturdy,Rock Head,Heavy Metal,330,50,70,100,40,40,30,Slow,1,Monster,
360,305,Lairon,3,Normal,0,Iron Armor Pokémon,2,Steel,Rock,0.9,120,3,Sturdy,Rock Head,Heavy Metal,430,60,90,140,50,50,40,Slow,1,Monster,
361,306,Aggron,3,Normal,1,Iron Armor Pokémon,2,Steel,Rock,2.1,360,3,Sturdy,Rock Head,Heavy Metal,530,70,110,180,60,60,50,Slow,1,Monster,
362,306,Mega Aggron,3,Normal,1,Iron Armor Pokémon,1,Steel,,2.2,395,1,Filter,,,630,70,140,230,60,80,50,Slow,1,Monster,
363,307,Meditite,3,Normal,0,Meditate Pokémon,2,Fighting,Psychic,0.6,11.2,2,Pure Power,,Telepathy,280,30,40,55,40,55,60,Medium Fast,1,Human-Like,
364,308,Medicham,3,Normal,1,Meditate Pokémon,2,Fighting,Psychic,1.3,31.5,2,Pure Power,,Telepathy,410,60,60,75,60,75,80,Medium Fast,1,Human-Like,
365,308,Mega Medicham,3,Normal,1,Meditate Pokémon,2,Fighting,Psychic,1.3,31.5,1,Pure Power,,,510,60,100,85,80,85,100,Medium Fast,1,Human-Like,
366,309,Electrike,3,Normal,0,Lightning Pokémon,1,Electric,,0.6,15.2,3,Static,Lightning Rod,Minus,295,40,45,40,65,40,65,Slow,1,Field,
367,310,Manectric,3,Normal,1,Discharge Pokémon,1,Electric,,1.5,40.2,3,Static,Lightning Rod,Minus,475,70,75,60,105,60,105,Slow,1,Field,
368,310,Mega Manectric,3,Normal,1,Discharge Pokémon,1,Electric,,1.8,44,1,Intimidate,,,575,70,75,80,135,80,135,Slow,1,Field,
369,311,Plusle,3,Normal,1,Cheering Pokémon,1,Electric,,0.4,4.2,2,Plus,,Lightning Rod,405,60,50,40,85,75,95,Medium Fast,1,Fairy,
370,312,Minun,3,Normal,1,Cheering Pokémon,1,Electric,,0.4,4.2,2,Minus,,Volt Absorb,405,60,40,50,75,85,95,Medium Fast,1,Fairy,
371,313,Volbeat,3,Normal,1,Firefly Pokémon,1,Bug,,0.7,17.7,3,Illuminate,Swarm,Prankster,430,65,73,75,47,85,85,Erratic,2,Bug,Human-Like
372,314,Illumise,3,Normal,1,Firefly Pokémon,1,Bug,,0.6,17.7,3,Oblivious,Tinted Lens,Prankster,430,65,47,75,73,85,85,Fluctuating,2,Bug,Human-Like
373,315,Roselia,3,Normal,0,Thorn Pokémon,2,Grass,Poison,0.3,2,3,Natural Cure,Poison Point,Leaf Guard,400,50,60,45,100,80,65,Medium Slow,2,Fairy,Grass
374,316,Gulpin,3,Normal,0,Stomach Pokémon,1,Poison,,0.4,10.3,3,Liquid Ooze,Sticky Hold,Gluttony,302,70,43,53,43,53,40,Fluctuating,1,Amorphous,
375,317,Swalot,3,Normal,1,Poison Bag Pokémon,1,Poison,,1.7,80,3,Liquid Ooze,Sticky Hold,Gluttony,467,100,73,83,73,83,55,Fluctuating,1,Amorphous,
376,318,Carvanha,3,Normal,0,Savage Pokémon,2,Water,Dark,0.8,20.8,2,Rough Skin,,Speed Boost,305,45,90,20,65,20,65,Slow,1,Water 2,
377,319,Sharpedo,3,Normal,1,Brutal Pokémon,2,Water,Dark,1.8,88.8,2,Rough Skin,,Speed Boost,460,70,120,40,95,40,95,Slow,1,Water 2,
378,319,Mega Sharpedo,3,Normal,1,Brutal Pokémon,2,Water,Dark,2.5,130.3,1,Strong Jaw,,,560,70,140,70,110,65,105,Slow,1,Water 2,
379,320,Wailmer,3,Normal,0,Ball Whale Pokémon,1,Water,,2,130,3,Water Veil,Oblivious,Pressure,400,130,70,35,70,35,60,Fluctuating,2,Field,Water 2
380,321,Wailord,3,Normal,1,Float Whale Pokémon,1,Water,,14.5,398,3,Water Veil,Oblivious,Pressure,500,170,90,45,90,45,60,Fluctuating,2,Field,Water 2
381,322,Numel,3,Normal,0,Numb Pokémon,2,Fire,Ground,0.7,24,3,Oblivious,Simple,Own Tempo,305,60,60,40,65,45,35,Medium Fast,1,Field,
382,323,Camerupt,3,Normal,1,Eruption Pokémon,2,Fire,Ground,1.9,220,3,Magma Armor,Solid Rock,Anger Point,460,70,100,70,105,75,40,Medium Fast,1,Field,
383,323,Mega Camerupt,3,Normal,1,Eruption Pokémon,2,Fire,Ground,2.5,320.5,1,Sheer Force,,,560,70,120,100,145,105,20,Medium Fast,1,Field,
384,324,Torkoal,3,Normal,1,Coal Pokémon,1,Fire,,0.5,80.4,3,White Smoke,Drought,Shell Armor,470,70,85,140,85,70,20,Medium Fast,1,Field,
385,325,Spoink,3,Normal,0,Bounce Pokémon,1,Psychic,,0.7,30.6,3,Thick Fat,Own Tempo,Gluttony,330,60,25,35,70,80,60,Fast,1,Field,
386,326,Grumpig,3,Normal,1,Manipulate Pokémon,1,Psychic,,0.9,71.5,3,Thick Fat,Own Tempo,Gluttony,470,80,45,65,90,110,80,Fast,1,Field,
387,327,Spinda,3,Normal,1,Spot Panda Pokémon,1,Normal,,1.1,5,3,Own Tempo,Tangled Feet,Contrary,360,60,60,60,60,60,60,Fast,2,Field,Human-Like
388,328,Trapinch,3,Normal,0,Ant Pit Pokémon,1,Ground,,0.7,15,3,Hyper Cutter,Arena Trap,Sheer Force,290,45,100,45,45,45,10,Medium Slow,2,Bug,Dragon
389,329,Vibrava,3,Normal,0,Vibration Pokémon,2,Ground,Dragon,1.1,15.3,1,Levitate,,,340,50,70,50,50,50,70,Medium Slow,2,Bug,Dragon
390,330,Flygon,3,Normal,1,Mystic Pokémon,2,Ground,Dragon,2,82,1,Levitate,,,520,80,100,80,80,80,100,Medium Slow,2,Bug,Dragon
391,331,Cacnea,3,Normal,0,Cactus Pokémon,1,Grass,,0.4,51.3,2,Sand Veil,,Water Absorb,335,50,85,40,85,40,35,Medium Slow,2,Grass,Human-Like
392,332,Cacturne,3,Normal,1,Scarecrow Pokémon,2,Grass,Dark,1.3,77.4,2,Sand Veil,,Water Absorb,475,70,115,60,115,60,55,Medium Slow,2,Grass,Human-Like
393,333,Swablu,3,Normal,0,Cotton Bird Pokémon,2,Normal,Flying,0.4,1.2,2,Natural Cure,,Cloud Nine,310,45,40,60,40,75,50,Erratic,2,Dragon,Flying
394,334,Altaria,3,Normal,1,Humming Pokémon,2,Dragon,Flying,1.1,20.6,2,Natural Cure,,Cloud Nine,490,75,70,90,70,105,80,Erratic,2,Dragon,Flying
395,334,Mega Altaria,3,Normal,1,Humming Pokémon,2,Dragon,Fairy,1.5,20.6,1,Pixilate,,,590,75,110,110,110,105,80,Erratic,2,Dragon,Flying
396,335,Zangoose,3,Normal,1,Cat Ferret Pokémon,1,Normal,,1.3,40.3,2,Immunity,,Toxic Boost,458,73,115,60,60,60,90,Erratic,1,Field,
397,336,Seviper,3,Normal,1,Fang Snake Pokémon,1,Poison,,2.7,52.5,2,Shed Skin,,Infiltrator,458,73,100,60,100,60,65,Fluctuating,2,Dragon,Field
398,337,Lunatone,3,Normal,1,Meteorite Pokémon,2,Rock,Psychic,1,168,1,Levitate,,,460,90,55,65,95,85,70,Fast,1,Mineral,
399,338,Solrock,3,Normal,1,Meteorite Pokémon,2,Rock,Psychic,1.2,154,1,Levitate,,,460,90,95,85,55,65,70,Fast,1,Mineral,
400,339,Barboach,3,Normal,0,Whiskers Pokémon,2,Water,Ground,0.4,1.9,3,Oblivious,Anticipation,Hydration,288,50,48,43,46,41,60,Medium Fast,1,Water 2,
401,340,Whiscash,3,Normal,1,Whiskers Pokémon,2,Water,Ground,0.9,23.6,3,Oblivious,Anticipation,Hydration,468,110,78,73,76,71,60,Medium Fast,1,Water 2,
402,341,Corphish,3,Normal,0,Ruffian Pokémon,1,Water,,0.6,11.5,3,Hyper Cutter,Shell Armor,Adaptability,308,43,80,65,50,35,35,Fluctuating,2,Water 1,Water 3
403,342,Crawdaunt,3,Normal,1,Rogue Pokémon,2,Water,Dark,1.1,32.8,3,Hyper Cutter,Shell Armor,Adaptability,468,63,120,85,90,55,55,Fluctuating,2,Water 1,Water 3
404,343,Baltoy,3,Normal,0,Clay Doll Pokémon,2,Ground,Psychic,0.5,21.5,1,Levitate,,,300,40,40,55,40,70,55,Medium Fast,1,Mineral,
405,344,Claydol,3,Normal,1,Clay Doll Pokémon,2,Ground,Psychic,1.5,108,1,Levitate,,,500,60,70,105,70,120,75,Medium Fast,1,Mineral,
406,345,Lileep,3,Normal,0,Sea Lily Pokémon,2,Rock,Grass,1,23.8,2,Suction Cups,,Storm Drain,355,66,41,77,61,87,23,Erratic,1,Water 3,
407,346,Cradily,3,Normal,1,Barnacle Pokémon,2,Rock,Grass,1.5,60.4,2,Suction Cups,,Storm Drain,495,86,81,97,81,107,43,Erratic,1,Water 3,
408,347,Anorith,3,Normal,0,Old Shrimp Pokémon,2,Rock,Bug,0.7,12.5,2,Battle Armor,,Swift Swim,355,45,95,50,40,50,75,Erratic,1,Water 3,
409,348,Armaldo,3,Normal,1,Plate Pokémon,2,Rock,Bug,1.5,68.2,2,Battle Armor,,Swift Swim,495,75,125,100,70,80,45,Erratic,1,Water 3,
410,349,Feebas,3,Normal,0,Fish Pokémon,1,Water,,0.6,7.4,3,Swift Swim,Oblivious,Adaptability,200,20,15,20,10,55,80,Erratic,2,Dragon,Water 1
411,350,Milotic,3,Normal,1,Tender Pokémon,1,Water,,6.2,162,3,Marvel Scale,Competitive,Cute Charm,540,95,60,79,100,125,81,Erratic,2,Dragon,Water 1
412,351,Castform,3,Normal,1,Weather Pokémon,1,Normal,,0.3,0.8,1,Forecast,,,420,70,70,70,70,70,70,Medium Fast,2,Amorphous,Fairy
413,351,Castform Sunny Form,3,Normal,0,Weather Pokémon,1,Fire,,0.3,0.8,1,Forecast,,,420,70,70,70,70,70,70,Medium Fast,2,Amorphous,Fairy
414,351,Castform Rainy Form,3,Normal,0,Weather Pokémon,1,Water,,0.3,0.8,1,Forecast,,,420,70,70,70,70,70,70,Medium Fast,2,Amorphous,Fairy
415,351,Castform Snowy Form,3,Normal,0,Weather Pokémon,1,Ice,,0.3,0.8,1,Forecast,,,420,70,70,70,70,70,70,Medium Fast,2,Amorphous,Fairy
416,352,Kecleon,3,Normal,1,Color Swap Pokémon,1,Normal,,1,22,2,Color Change,,Protean,440,60,90,70,60,120,40,Medium Slow,1,Field,
417,353,Shuppet,3,Normal,0,Puppet Pokémon,1,Ghost,,0.6,2.3,3,Insomnia,Frisk,Cursed Body,295,44,75,35,63,33,45,Fast,1,Amorphous,
418,354,Banette,3,Normal,1,Marionette Pokémon,1,Ghost,,1.1,12.5,3,Insomnia,Frisk,Cursed Body,455,64,115,65,83,63,65,Fast,1,Amorphous,
419,354,Mega Banette,3,Normal,1,Marionette Pokémon,1,Ghost,,1.2,13,1,Prankster,,,555,64,165,75,93,83,75,Fast,1,Amorphous,
420,355,Duskull,3,Normal,0,Requiem Pokémon,1,Ghost,,0.8,15,2,Levitate,,Frisk,295,20,40,90,30,90,25,Fast,1,Amorphous,
421,356,Dusclops,3,Normal,0,Beckon Pokémon,1,Ghost,,1.6,30.6,2,Pressure,,Frisk,455,40,70,130,60,130,25,Fast,1,Amorphous,
422,357,Tropius,3,Normal,1,Fruit Pokémon,2,Grass,Flying,2,100,3,Chlorophyll,Solar Power,Harvest,460,99,68,83,72,87,51,Slow,2,Grass,Monster
423,358,Chimecho,3,Normal,1,Wind Chime Pokémon,1,Psychic,,0.6,1,1,Levitate,,,455,75,50,80,95,90,65,Fast,1,Amorphous,
424,359,Absol,3,Normal,1,Disaster Pokémon,1,Dark,,1.2,47,3,Pressure,Super Luck,Justified,465,65,130,60,75,60,75,Medium Slow,1,Field,
425,359,Mega Absol,3,Normal,1,Disaster Pokémon,1,Dark,,1.2,49,1,Magic Bounce,,,565,65,150,60,115,60,115,Medium Slow,1,Field,
426,360,Wynaut,3,Normal,0,Bright Pokémon,1,Psychic,,0.6,14,2,Shadow Tag,,Telepathy,260,95,23,48,23,48,23,Medium Fast,1,Undiscovered,
427,361,Snorunt,3,Normal,0,Snow Hat Pokémon,1,Ice,,0.7,16.8,3,Inner Focus,Ice Body,Moody,300,50,50,50,50,50,50,Medium Fast,2,Fairy,Mineral
428,362,Glalie,3,Normal,1,Face Pokémon,1,Ice,,1.5,256.5,3,Inner Focus,Ice Body,Moody,480,80,80,80,80,80,80,Medium Fast,2,Fairy,Mineral
429,362,Mega Glalie,3,Normal,1,Face Pokémon,1,Ice,,2.1,350.2,1,Refrigerate,,,580,80,120,80,120,80,100,Medium Fast,2,Fairy,Mineral
430,363,Spheal,3,Normal,0,Clap Pokémon,2,Ice,Water,0.8,39.5,3,Thick Fat,Ice Body,Oblivious,290,70,40,50,55,50,25,Medium Slow,2,Field,Water 1
431,364,Sealeo,3,Normal,0,Ball Roll Pokémon,2,Ice,Water,1.1,87.6,3,Thick Fat,Ice Body,Oblivious,410,90,60,70,75,70,45,Medium Slow,2,Field,Water 1
432,365,Walrein,3,Normal,1,Ice Break Pokémon,2,Ice,Water,1.4,150.6,3,Thick Fat,Ice Body,Oblivious,530,110,80,90,95,90,65,Medium Slow,2,Field,Water 1
433,366,Clamperl,3,Normal,0,Bivalve Pokémon,1,Water,,0.4,52.5,2,Shell Armor,,Rattled,345,35,64,85,74,55,32,Erratic,1,Water 1,
434,367,Huntail,3,Normal,1,Deep Sea Pokémon,1,Water,,1.7,27,2,Swift Swim,,Water Veil,485,55,104,105,94,75,52,Erratic,1,Water 1,
435,368,Gorebyss,3,Normal,1,South Sea Pokémon,1,Water,,1.8,22.6,2,Swift Swim,,Hydration,485,55,84,105,114,75,52,Erratic,1,Water 1,
436,369,Relicanth,3,Normal,1,Longevity Pokémon,2,Water,Rock,1,23.4,3,Swift Swim,Rock Head,Sturdy,485,100,90,130,45,65,55,Slow,2,Water 1,Water 2
437,370,Luvdisc,3,Normal,1,Rendezvous Pokémon,1,Water,,0.6,8.7,2,Swift Swim,,Hydration,330,43,30,55,40,65,97,Fast,1,Water 2,
438,371,Bagon,3,Normal,0,Rock Head Pokémon,1,Dragon,,0.6,42.1,2,Rock Head,,Sheer Force,300,45,75,60,40,30,50,Slow,1,Dragon,
439,372,Shelgon,3,Normal,0,Endurance Pokémon,1,Dragon,,1.1,110.5,2,Rock Head,,Overcoat,420,65,95,100,60,50,50,Slow,1,Dragon,
440,373,Salamence,3,Normal,1,Dragon Pokémon,2,Dragon,Flying,1.5,102.6,2,Intimidate,,Moxie,600,95,135,80,110,80,100,Slow,1,Dragon,
441,373,Mega Salamence,3,Normal,1,Dragon Pokémon,2,Dragon,Flying,1.8,112.6,1,Aerilate,,,700,95,145,130,120,90,120,Slow,1,Dragon,
442,374,Beldum,3,Normal,0,Iron Ball Pokémon,2,Steel,Psychic,0.6,95.2,2,Clear Body,,Light Metal,300,40,55,80,35,60,30,Slow,1,Mineral,
443,375,Metang,3,Normal,0,Iron Claw Pokémon,2,Steel,Psychic,1.2,202.5,2,Clear Body,,Light Metal,420,60,75,100,55,80,50,Slow,1,Mineral,
444,376,Metagross,3,Normal,1,Iron Leg Pokémon,2,Steel,Psychic,1.6,550,2,Clear Body,,Light Metal,600,80,135,130,95,90,70,Slow,1,Mineral,
445,376,Mega Metagross,3,Normal,1,Iron Leg Pokémon,2,Steel,Psychic,2.5,942.9,1,Tough Claws,,,700,80,145,150,105,110,110,Slow,1,Mineral,
446,377,Regirock,3,Sub Legendary,1,Rock Peak Pokémon,1,Rock,,1.7,230,2,Clear Body,,Sturdy,580,80,100,200,50,100,50,Slow,1,Undiscovered,
447,378,Regice,3,Sub Legendary,1,Iceberg Pokémon,1,Ice,,1.8,175,2,Clear Body,,Ice Body,580,80,50,100,100,200,50,Slow,1,Undiscovered,
448,379,Registeel,3,Sub Legendary,1,Iron Pokémon,1,Steel,,1.9,205,2,Clear Body,,Light Metal,580,80,75,150,75,150,50,Slow,1,Undiscovered,
449,380,Latias,3,Sub Legendary,1,Eon Pokémon,2,Dragon,Psychic,1.4,40,1,Levitate,,,600,80,80,90,110,130,110,Slow,1,Undiscovered,
450,380,Mega Latias,3,Sub Legendary,1,Eon Pokémon,2,Dragon,Psychic,1.8,52,1,Levitate,,,700,80,100,120,140,150,110,Slow,1,Undiscovered,
451,381,Latios,3,Sub Legendary,1,Eon Pokémon,2,Dragon,Psychic,2,60,1,Levitate,,,600,80,90,80,130,110,110,Slow,1,Undiscovered,
452,381,Mega Latios,3,Sub Legendary,1,Eon Pokémon,2,Dragon,Psychic,2.3,70,1,Levitate,,,700,80,130,100,160,120,110,Slow,1,Undiscovered,
453,382,Kyogre,3,Legendary,1,Sea Basin Pokémon,1,Water,,4.5,352,1,Drizzle,,,670,100,100,90,150,140,90,Slow,1,Undiscovered,
454,382,Primal Kyogre,3,Legendary,1,Sea Basin Pokémon,1,Water,,9.8,430,1,Primordial Sea,,,770,100,150,90,180,160,90,Slow,1,Undiscovered,
455,383,Groudon,3,Legendary,1,Continent Pokémon,1,Ground,,3.5,950,1,Drought,,,670,100,150,140,100,90,90,Slow,1,Undiscovered,
456,383,Primal Groudon,3,Legendary,1,Continent Pokémon,2,Ground,Fire,5,999.7,1,Desolate Land,,,770,100,180,160,150,90,90,Slow,1,Undiscovered,
457,384,Rayquaza,3,Legendary,1,Sky High Pokémon,2,Dragon,Flying,7,206.5,1,Air Lock,,,680,105,150,90,150,90,95,Slow,1,Undiscovered,
458,384,Mega Rayquaza,3,Legendary,1,Sky High Pokémon,2,Dragon,Flying,10.8,392,1,Delta Stream,,,780,105,180,100,180,100,115,Slow,1,Undiscovered,
459,385,Jirachi,3,Mythical,1,Wish Pokémon,2,Steel,Psychic,0.3,1.1,1,Serene Grace,,,600,100,100,100,100,100,100,Slow,1,Undiscovered,
460,386,Deoxys Normal Forme,3,Mythical,1,DNA Pokémon,1,Psychic,,1.7,60.8,1,Pressure,,,600,50,150,50,150,50,150,Slow,1,Undiscovered,
